UNIQUE_SAMPLEID,SAMPLE_ID,FIELD_ID,Grainize,Horizon,Locality,Date_sampled,Latitude,Longitude,Duplicate,Catchment,Ag,Ag,Ag,Al,Al,As,As,As,Au,Au,Au,B,Ba,Ba,Ba,Be,Be,Bi,Bi,Bi,Ca,Ca,Cd,Cd,Cd,Ce,Ce,Ce,Cl,Co,Co,Co,Cr,Cr,Cr,Cs,Cs,Cs,Cu,Cu,Cu,Dy,Dy,Dy,Er,Er,Er,Eu,Eu,Eu,F,F_Rpt,Fe,Fe,Ga,Ga,Ga,Gd,Gd,Gd,Ge,Ge,Hf,Hf,Hg,Hg,Hg,Ho,Ho,In,In,K,K,La,La,La,Li,Li,Lu,Lu,Mg,Mg,Mn,Mn,Mn,Mo,Mo,Mo,Na,Nb,Nb,Nb,Nd,Nd,Nd,Ni,Ni,Ni,P,P,Pb,Pb,Pb206,Pb207,Pb208,Pb,Pd,Pd,Pr,Pr,Pr,Pt,Pt,Rb,Rb,Rb,Re,S,S,Sb,Sb,Sb,Sc,Sc,Sc,Se,Se_Rpt,Se,Se,Se,Si,Sm,Sm,Sm,Sn,Sn,Sn,Sr,Sr,Sr,Ta,Ta,Ta,Tb,Tb,Tb,Te,Te,Th,Th,Th,Ti,Ti,Tl,Tl,Tl,Tm,Tm,U ,U,U,V ,V,V,W ,W,W,Y ,Y,Y,Yb,Yb,Yb,Zn,Zn,Zn,Zr,Zr,Zr
TS0871BF,NGSA,TS0871,<75 µm,BOS,,39676,-13.4411,142.3135,Y,Archer River,<0.002,<0.03,,144181,,0.2,1.6,,0.5,0.002,,<1,28.5,177.8,,0.2,1.6,0.15,0.74,,214.4079886,,<0.01,<0.1,,43.8,158.4,,20,0.5,7.7,,7.2,57.2,,2.36,15.47,,0.91,4.5,,1.4,7.73,,0.5,4.42,,0.5,1.489,,340,,21402.75517,,3.25,33.8,,2,8.24,,<0.1,1.1,<0.1,22.79,0.01,,,0.2,1.51,<0.02,,6159,,17.5,70.05,,4.8,,<0.1,0.8,1025,,5,0,,0.09,0.7,,423,<0.1,20.7,,17.3,60.63,,1.8,15.3,,153,,9.05,29.42,,,,,0.001,,4.5,15.9,,0.0005,,9.1,117.6,,<0.001,,73,<0.02,<0.4,,3.7,16.9,,0.14,,0.3,,,261164.5022,3.2,11.84,,0.93,7.8,,0.9,21.7,,<0.05,2,,0.2,1.41,,0.03,,8.3,35.36,,5935.043805,,0.12,,,<0.1,,1.4,7.99,,15,58.3,,<0.1,5.1,,5.56,45.8,,0.5,5.08,,<0.1,19.2,,2.2,836.1,
TS0871BF_rpt,NGSA,TS0871,<75 µm,BOS,,39676,-13.4413,142.31259,Y,Archer River,0.02,<0.03,,141164,,1.2,2.6,,2.7,0.003,,<1,55.5,180.2,,0.5,1.7,0.3,0.87,,285.8773181,,<0.01,0.13,,125,133.7,,17,0.4,7.3,,5.7,57.4,,3.22,14.07,,2.23,4.2,,2.5,6.98,,1.1,4.47,,1,1.188,,480,,26368.75391,,6.17,32,,4.6,8.04,,<0.1,1,0.1,24.07,0.04,,,0.4,1.45,0.03,,7064,,56.4,64.59,,5.4,,<0.1,0.74,971,,9,77.44254899,,0.31,0.7,,519,<0.1,22.2,,37.6,54.41,,6.5,14.9,,161,,12.8,29.85,,,,,0.001,,11.3,14.33,,<0.0005,,11.8,119.7,,<0.001,,87,0.13,1.5,,9.4,14.9,,0.22,,0.7,,,256632.6673,7.1,10.98,,1.23,5.3,,0.8,21.1,,<0.05,1.67,,0.5,1.25,,<0.02,,17.2,43.34,,6414.643304,,0.22,,,0.2,,3.6,8.46,,25,65.7,,<0.1,5,,11.8,52.6,,0.9,4.99,,6.9,35.8,,4.5,947.1,
TS0871TC,NGSA,TS0871,<2 mm,TOS,,39676,-13.4411,142.3135,Y,Archer River,0.006,<0.03,0.002,25046,144,<0.1,<0.4,<0.01,0.2,0.001,<0.0001,<1,28.3,87.4,0.56,0.5,1.2,0.11,0.29,0.007,285.8773181,<10,<0.01,<0.1,0.001,26.7,49.55,3.68,46,0.6,1.8,0.042,4.9,24.7,0.061,1.54,3.44,0.743,1.19,3.4,0.12,0.8,3.1,0.26,0.2,1.97,0.101,0.2,0.327,0.0848,120,,6504.758923,18,1.48,5.6,0.032,1.1,2.94,0.39,<0.1,0.3,<0.1,13.19,<0.01,,<0.001,<0.1,0.63,<0.02,,2856,13,10.4,23.05,0.905,3.5,0.005,<0.1,0.34,205,22,11,0,1.25,0.11,0.4,<0.005,289,<0.1,7.2,0.0033,10.2,19.29,2.15,1.1,5.4,0.041,113,1.8,7.92,10.1,,,,2.28,<0.001 ,0.001,2.7,5.12,0.562,<0.0005,<0.001,8,32.3,0.412,<0.001,,75,<0.02,<0.4,<0.001,1.4,4,0.259,0.03,,0.1,,0.005,421694.2391,1.9,3.74,0.359,0.53,2.9,<0.001,1,6.9,0.07,<0.05,0.91,<0.001,0.1,0.54,0.054,0.04,<0.01,4.8,13.09,1.38,2158.197747,0.065,0.1,,0.0028,<0.1,,0.9,3.3,0.296,10,19.8,0.034,<0.1,1.5,0.001,3.22,19.8,0.805,0.2,2.2,0.066,<0.1,4.1,0.08,0.5,498,0.14
TS0871TC_rpt,NGSA,TS0871,<2 mm,TOS,,39676,-13.4413,142.31259,Y,Archer River,0.013,<0.03,0.003,26841,131,1.7,1.5,0.01,<0.1,0.002,<0.0001,1,24.5,99.7,0.94,0.3,1.7,0.12,0.31,0.005,285.8773181,10,<0.01,<0.1,<0.001,35.4,54.18,5.51,31,0.4,1.9,0.028,4.4,25.3,0.205,1.5,3.88,0.952,0.84,1.3,0.29,0.8,3.46,0.453,0.3,2.16,0.184,0.3,0.331,0.104,200,,6364.871634,16,1.6,4.9,0.039,1.3,3.43,0.583,<0.1,0.7,<0.1,15.17,<0.01,,<0.001,0.1,0.68,<0.02,,3636,11.8,14.5,24.89,2.12,3.5,<0.005,<0.1,0.34,271,16,7,0,1.1,0.04,0.3,<0.005,356,<0.1,10.5,0.0015,9.74,22.1,3.85,<0.1,4.6,0.033,109,1.5,5.8,11.47,,,,3.41,<0.001 ,0.005,2.9,5.71,0.85,<0.0005,<0.001,9,39.4,0.519,<0.001,,82,<0.02,1.6,<0.001,1.9,3.6,0.409,0.03,,0.1,,0.022,421740.959,2.1,4.71,0.559,0.28,5.9,<0.001,<0.5,8.8,0.12,<0.05,0.87,<0.001,0.1,0.5,0.086,<0.02,<0.01,5.8,15.56,2.91,2637.797247,0.19,0.11,,0.0029,<0.1,,1,3.57,0.388,11,22.9,0.05,<0.1,2,0.002,3.02,22.2,1.52,0.3,2.52,0.08,3,5,0.08,0.2,600.7,0.192
TS0871TF,NGSA,TS0871,<75 µm,TOS,,39676,-13.4411,142.3135,Y,Archer River,0.017,<0.03,,78246,,0.3,0.6,,0.3,0.001,,<1,83.7,276.4,,1.4,3,0.31,0.68,,428.8159772,,0.02,<0.1,,88.5,159.4,,70,1.5,4.9,,9.3,41.8,,3.93,10.92,,2.46,4.7,,2.7,9.54,,0.9,6.02,,0.7,1.235,,280,,10071.88478,,5.59,18.6,,3.6,9.19,,<0.1,0.6,<0.1,43.19,0.03,,,0.3,1.99,<0.02,,10202,,33.6,73.29,,11.2,,<0.1,1.1,989,,29,77.44254899,,0.17,0.7,,927,0.2,20,,30.7,61.59,,2.5,8.5,,240,,21.7,31.34,,,,,<0.001 ,,8.7,16.64,,0.0005,,21.6,107.7,,<0.001,,199,0.09,<0.4,,4,13,,0.01,,0.4,,,324096.2704,5.7,12.18,,1.42,5.4,,2.4,24.1,,<0.05,1.13,,0.4,1.67,,0.02,,13.2,41.53,,5575.34418,,0.27,,,<0.1,,3.1,10.58,,11,42,,<0.1,4.3,,10.6,61.7,,0.6,6.93,,<0.1,17.7,,0.9,1599,
TS0871TF_rpt,NGSA,TS0871,<75 µm,TOS,,39676,-13.4413,142.31259,Y,Archer River,0.012,<0.03,,68814,,0.8,<0.4,,0.5,0.002,,<1,57.9,270.8,,1.1,2.1,0.28,0.7,,428.8159772,,<0.01,0.13,,95.4,177,,56,0.8,5,,5.5,45.8,,3.13,9.78,,1.67,4.6,,2.2,11.03,,0.8,7.51,,0.8,1.207,,360,,9722.166562,,3.4,13.2,,3.5,11.67,,<0.1,0.7,<0.1,55.72,0.03,,,0.3,2.45,<0.02,,10966,,38.6,79.94,,7.6,,<0.1,1.38,941,,16,77.44254899,,0.07,0.4,,979,0.1,25.6,,26.6,71.83,,0.6,8.1,,244,,13.6,29.17,,,,,<0.001 ,,8.3,18.94,,<0.0005,,19.5,107.3,,<0.001,,153,0.03,1.5,,5,11.4,,0.04,,0.2,,,347175.9241,5.5,14.79,,0.71,5.7,,0.8,23.8,,<0.05,2.19,,0.4,1.99,,0.06,,13,48.87,,6294.743429,,0.24,,,0.1,,2.9,11.7,,11,41.3,,<0.1,5.2,,8.16,77.9,,0.7,8.96,,4.3,20,,0.4,2169,
TS0872_01BC,Batch_3,TS0872_01,<2mm,BOS,Holroyd,41934,-14.12777,141.84448,,Sinclair Creek,0.026,0.000043,,21429.9588,,< 0.1,1.34,,< 0.5,<0.001,,< 1,214,291.39,,0.6,0.59,0.07,0.14,,142.9386591,,0.01,0.03,,31.2,32.19,,,3.5,3.78,,47,69.68,,1.03,1.41,,1.63,2.83,,1.3,2.91,,0.5,1.84,,0.4,0.51,,40,,6364.871634,,1.88,5.7,,2.1,2.96,,< 0.1,1.75,< 0.1,3.44,< 10,7.89,,0.2,0.59,< 0.02,,1328.21471,,13.6,16.11,,3.8,,< 0.1,0.27,603.1746032,,53,77.44254899,,0.57,0.94,,3264.406233,< 0.1,8.83,,13.7,15.71,,2.9,12.11,,960.2141448,,5.57,82.62,10.58,11.64,10.82,,<0.001,,3.7,4.21,,<0.0005,,5.1,8.28,,< 0.001,,,< 0.02,0.34,,1.6,4.63,,0.03,,< 0.1,1.53,,423656.4769,2.6,3.28,,0.46,1.54,,3.5,11.56,,< 0.05,1.21,,0.2,0.45,,0.06,,4.4,7.2,,3057.446809,,0.05,0.09,,< 0.1,0.27,0.7,1.76,,14,22.54,,< 0.1,1.89,,4.22,16.9,,0.3,1.91,,1.8,9.41,,2.4,112.41,
TS0872_01BF,Batch_3,TS0872_01,<75 µm,BOS,Holroyd,41934,-14.12777,141.84448,,Sinclair Creek,0.023,0.000062,,28361.62448,,< 0.1,1.94,,< 0.5,<0.001,,< 1,220,401.48,,0.7,1.18,0.08,0.24,,142.9386591,,0.01,0.05,,38.2,57.83,,,3.5,5.03,,7,28.79,,1.17,2.32,,1.31,4.2,,1.6,4.66,,0.6,2.87,,0.5,0.85,,60,,6574.702567,,1.89,10,,2.6,5.29,,< 0.1,2.2,< 0.1,6.56,< 10,9.76,,0.3,0.91,< 0.02,,1328.21471,,19.5,32.17,,4.2,,< 0.1,0.41,904.7619048,,44,77.44254899,,0.03,0.35,,1261.247863,< 0.1,18.64,,19,29.86,,2.1,14.67,,#VALUE!,,5.71,69.85,16.03,17.25,16.31,,<0.001,,5.2,7.97,,<0.0005,,5.3,14.1,,< 0.001,,,< 0.02,0.49,,2.2,8.78,,0.01,,< 0.1,3.21,,417115.6843,3.6,5.93,,0.51,2.48,,3,17.96,,< 0.05,2.53,,0.3,0.74,,< 0.02,,6.2,15.01,,5515.394243,,0.06,0.13,,< 0.1,0.41,0.9,3.18,,12,29.09,,< 0.1,3.9,,5.44,25.81,,0.4,2.95,,2.7,14.64,,1.9,209.6,
TS0872_01TC,Batch_3,TS0872_01,<2mm,TOS,Holroyd,41934,-14.12777,141.84448,,Sinclair Creek,0.026,0.000015,<0.001,11217.65745,66,< 0.1,0.62,<0.01,3.2,<0.001,<0.0001,< 1,93.8,113.08,1220,0.4,0.18,0.04,0.04,2,142.9386591,<10,0.02,0.06,1,18.6,25.62,2230,,0.8,0.99,49,49,73.81,37,0.54,0.77,32.8,1.26,1.58,40,0.5,0.86,100,0.2,0.44,41.1,0.1,0.14,32.5,20,,2657.858485,35,1.48,3.44,18,1,1.58,154,< 0.1,0.57,< 0.1,0.08,40,0.08,<0.001,< 0.1,0.17,< 0.02,<0.0005,415.067097,9.1,9.3,12.23,854,2.5,<0.005,< 0.1,0.06,120.6349206,25,7,0,0.455,0.72,0.35,<0.005,296.764203,< 0.1,0.05,0.9,7.2,10.9,891,1.9,10.12,37,#VALUE!,1.4,4.59,31.09,7.1,6.6,6.55,1030,<0.001,<0.001,2,2.43,0.242,<0.0005,<0.001,1.2,1.49,0.0659,0.001,8,,0.02,0.05,<0.001,0.8,0.87,0.137,<0.01,,< 0.1,0.36,0.018,442671.4952,1.3,1.96,0.189,0.43,0.42,<0.001,1.8,2.16,0.03,< 0.05,0.01,<0.001,0.1,0.18,0.021,0.06,<0.01,3.7,5.09,0.175,2577.847309,0.315,< 0.02,0.02,<0.0005,< 0.1,0.07,0.4,0.49,0.085,7,8.66,0.057,< 0.1,0.01,<0.001,1.79,4.67,0.407,0.1,0.35,0.029,0.2,4.72,0.05,0.5,2.34,0.046
TS0872_01TF,Batch_3,TS0872_01,<75 µm,TOS,Holroyd,41934,-14.12777,141.84448,,Sinclair Creek,0.032,0.000008,,15397.82225,,< 0.1,0.59,,1.6,<0.001,,< 1,50.1,49.95,,0.3,0.19,0.04,0.03,,214.4079886,,0.02,0.02,,17.7,30.24,,,0.6,0.6,,3,3.76,,0.57,0.71,,0.71,0.76,,0.5,0.72,,0.1,0.26,,0.1,0.14,,40,,2238.196619,,1.46,3.06,,0.9,1.69,,< 0.1,0.69,< 0.1,0.04,20,0.06,,< 0.1,0.12,< 0.02,,581.0939358,,8.8,14.33,,2.6,,< 0.1,0.03,180.952381,,4,0,,0.02,0.02,,2448.304675,< 0.1,0.03,,6.95,13,,0.7,7.47,,916.5680473,,3.35,54.75,3.8,3.51,3.52,,<0.001,,2,2.85,,<0.0005,,1.2,1.06,,< 0.001,,,< 0.02,0.04,,0.7,0.81,,0.01,,< 0.1,0.4,,431879.1875,1.3,2.38,,0.4,0.3,,1.1,0.99,,< 0.05,0.01,,0.1,0.18,,0.05,,3.6,6.08,,4436.295369,,< 0.02,0.01,,< 0.1,0.04,0.4,0.49,,5,5.13,,< 0.1,0.01,,1.48,3.14,,< 0.1,0.17,,< 0.1,5.04,,0.1,1.05,
TS0872_02BC,Batch_3,TS0872_02,<2mm,BOS,Holroyd,41934,-14.20548,142.21054,,Kendall River,0.029,0.000063,,47886.69806,,1.5,4.15,,< 0.5,0.001,,< 1,13.2,71.41,,0.4,0.31,0.16,0.23,,142.9386591,,0.02,0.06,,38.2,43.27,,,2.1,3.24,,55,78.63,,1.19,1.65,,2.55,4.55,,1.8,3.18,,0.9,2.04,,0.6,0.75,,80,,23640.95178,,6.82,12.25,,2.9,3.75,,< 0.1,1.89,0.3,4.02,< 10,7.56,,0.3,0.66,0.05,,664.1073552,,17.6,22.53,,4.5,,0.1,0.31,301.5873016,,13,77.44254899,,0.6,1.09,,370.9552537,< 0.1,10.99,,19.5,22.3,,4.1,14.91,,#VALUE!,,8.07,109.32,14.09,15.41,14.42,,<0.001,,4.9,5.61,,<0.0005,,2.8,5.97,,< 0.001,,,0.13,0.54,,6.7,11.52,,0.21,,< 0.1,2.26,,384037.962,3.5,4.17,,1.08,2.05,,3.8,19.64,,< 0.05,1.39,,0.3,0.52,,< 0.02,,7.7,10.15,,4376.345432,,0.04,0.07,,0.1,0.3,1.3,2.18,,62,72.71,,< 0.1,1.97,,8.14,18.66,,0.7,2.12,,2,8.86,,7.7,131.53,
TS0872_02BF,Batch_3,TS0872_02,<75 µm,BOS,Holroyd,41934,-14.20548,142.21054,,Kendall River,0.024,0.000077,,73285.16775,,1.9,7.59,,< 0.5,0.002,,< 1,13.7,91.9,,0.5,0.87,0.24,0.41,,142.9386591,,0.02,0.03,,60.3,81.83,,,2.4,5.45,,41,78.78,,1.35,2.77,,2.82,6.97,,2.8,5.67,,1.4,3.58,,0.9,1.31,,120,,33922.6675,,9.04,22.23,,4.5,6.83,,0.1,4.86,0.3,7.89,10,15.13,,0.5,1.14,0.07,,1079.174452,,25.7,38.75,,5.3,,0.2,0.53,422.2222222,,14,77.44254899,,0.51,1.22,,1112.865761,< 0.1,20.55,,29.3,39.16,,4.2,21.72,,#VALUE!,,11.3,84.79,21.08,22.89,21.42,,<0.001,,7.3,9.88,,<0.0005,,2.9,9.89,,< 0.001,,,0.19,0.83,,9.7,13.87,,0.31,,0.2,4.14,,342410.4895,5.5,7.6,,1.36,3.61,,4.4,32.93,,< 0.05,2.67,,0.5,0.93,,0.06,,11.8,18.27,,6594.493116,,0.05,0.13,,0.2,0.52,1.9,4.18,,89,129.32,,< 0.1,3.87,,12.1,31.61,,1.1,3.68,,2.5,13.4,,9.3,262.48,
TS0872_02TC,Batch_3,TS0872_02,<2mm,TOS,Holroyd,41934,-14.20548,142.21054,,Kendall River,0.024,0.000018,<0.001,25874.69099,195,1,2.64,20,2.5,<0.001,0.2,< 1,11.1,17.91,230,0.3,0.31,0.09,0.12,1,142.9386591,15,0.02,0.02,<0.001,26.9,41.81,3760,,1.3,1.84,18,51,89.15,148,0.82,1.38,44.5,2.1,2.59,70,0.9,1.33,195,0.3,0.63,84.6,0.2,0.33,61.3,40,,14967.93989,70,3.82,7.4,51,1.5,2.48,283,< 0.1,0.95,0.1,0.31,20,0.08,<0.001,0.1,0.25,0.03,0.6,415.067097,9.5,10.5,16.01,929,2.8,16,< 0.1,0.07,180.952381,32,14,0,0.882,0.61,0.32,<0.005,2522.495725,0.1,0.04,2.7,9.48,16.11,1450,3,10.68,43,872.9219498,0.9,4.98,43.77,6.77,6.37,6.25,490,<0.001,<0.001,2.6,3.36,0.347,<0.0005,<0.001,1.8,3.01,0.126,0.001,11,,0.11,0.05,<0.001,2.7,3.84,0.256,0.13,,< 0.1,0.84,0.035,406323.3766,1.8,2.97,0.31,0.63,0.35,0.004,2.6,4.43,0.06,< 0.05,0.02,<0.001,0.2,0.29,0.04,0.06,<0.01,5.9,9.23,0.515,3596.996245,0.997,0.02,0.04,0.0005,< 0.1,0.09,0.7,0.92,0.083,35,48.8,0.188,< 0.1,0.02,<0.001,3.18,6.53,0.854,0.2,0.47,0.061,1.6,5.52,0.07,4.6,9.72,0.375
TS0872_02TF,Batch_3,TS0872_02,<75 µm,TOS,Holroyd,41934,-14.20548,142.21054,,Kendall River,0.027,0.000017,,51749.38199,,1.4,2.79,,2.8,0.001,,< 1,7.5,9.41,,0.4,0.25,0.17,0.14,,214.4079886,,0.03,0.04,,44.9,46.6,,,1.8,1.4,,31,31.4,,1.25,1.55,,2.37,2.28,,1.6,1.59,,0.6,0.78,,0.4,0.45,,60,,24550.21916,,6.17,7.57,,2.5,2.77,,< 0.1,0.99,0.2,0.33,20,0.07,,0.3,0.3,0.05,,830.134194,,15.9,15.71,,4.4,,< 0.1,0.08,361.9047619,,20,0,,0.45,0.1,,222.5731522,0.2,0.03,,15.5,16.9,,3.1,9.29,,#VALUE!,,7.73,68.9,8.54,8.02,7.82,,<0.001,,4.1,3.53,,<0.0005,,2.3,2.91,,0.003,,,0.14,0.04,,4.8,5.2,,0.28,,0.2,0.71,,363574.6254,3,3.32,,1.02,0.31,,3.6,3.57,,< 0.05,0.01,,0.3,0.34,,0.03,,9.4,9.89,,6774.342929,,0.03,0.04,,< 0.1,0.11,1.2,1.05,,61,62.5,,< 0.1,0.01,,5.9,8.08,,0.5,0.59,,2,6.65,,6.9,10.59,
TS0872_03BC,Batch_3,TS0872_03,<2mm,BOS,Holroyd,41934,-14.18342,141.80321,,Kendall River,0.022,0.000046,,30107.76928,,0.4,3.21,,< 0.5,<0.001,,< 1,439,521.65,,0.7,0.75,0.11,0.19,,4073.751783,,0.02,0.03,,40.5,46.1,,,4.8,4.95,,37,57.77,,1.48,2.04,,1.92,3.37,,1.4,3.08,,0.5,1.91,,0.4,0.57,,160,,9582.279274,,3.05,8.74,,2.4,3.61,,< 0.1,2.64,< 0.1,3.79,< 10,8.04,,0.2,0.63,< 0.02,,996.1610328,,17.8,22.62,,6.7,,< 0.1,0.25,6815.873016,,130,154.885098,,0.39,0.73,,1706.394167,< 0.1,13.41,,16.2,20.06,,3.6,12.97,,#VALUE!,,10.1,100.37,14.21,15.67,14.64,,<0.001,,4.4,5.38,,<0.0005,,5.3,10.76,,0.001,,,0.03,0.38,,2.5,5.88,,0.02,,< 0.1,2.08,,399689.1442,3.1,3.95,,0.74,1.83,,44.5,57.11,,< 0.05,11.51,,0.3,0.5,,< 0.02,,7.4,10.83,,3716.89612,,0.07,0.12,,< 0.1,0.27,0.6,1.71,,21,30.54,,< 0.1,2.12,,4.76,17.28,,0.3,1.87,,2.9,10.92,,3.7,120.6,
TS0872_03BF,Batch_3,TS0872_03,<75 µm,BOS,Holroyd,41934,-14.18342,141.80321,,Kendall River,0.028,0.000061,,34446.67451,,0.5,3.66,,< 0.5,<0.001,,< 1,457,602.78,,0.9,1.42,0.13,0.24,,4502.56776,,0.02,0.06,,49.3,60.64,,,5.2,5.83,,12,30.49,,1.62,2.63,,2.02,4,,1.7,4.34,,0.6,2.67,,0.5,0.76,,180,,10141.82843,,3.56,10.86,,2.9,4.79,,0.1,3.1,< 0.1,6.56,< 10,9.8,,0.3,0.87,0.02,,1411.22813,,22.2,30.67,,7.5,,< 0.1,0.41,8444.444444,,132,154.885098,,< 0.01,0.29,,2670.877827,< 0.1,16.41,,19.7,26.2,,3.5,14.24,,#VALUE!,,10.8,85.12,17.91,19.54,18.4,,<0.001,,5.5,7.06,,<0.0005,,6,14.04,,< 0.001,,,< 0.02,0.5,,2.9,8.62,,0.01,,0.1,2.71,,390625.4745,3.7,5.35,,0.9,2.51,,49,67.72,,< 0.05,2.34,,0.4,0.69,,< 0.02,,9.9,15.37,,4795.994994,,0.07,0.16,,< 0.1,0.39,0.7,2.58,,22,35.94,,< 0.1,2.91,,5.57,24.73,,0.4,2.74,,4.5,13.55,,4,211.74,
TS0872_03TC,Batch_3,TS0872_03,<2mm,TOS,Holroyd,41934,-14.18342,141.80321,,Kendall River,0.027,0.00002,<0.001,19154.67922,51,0.1,1.25,<0.01,3.2,<0.001,<0.0001,< 1,111,140.52,3800,0.6,0.77,0.08,0.09,<0.001,714.6932953,185,0.02,0.07,2,43.1,56.64,3450,,2.9,3.61,363,58,91.65,48,1.17,1.54,15.4,2.14,2.31,180,1.5,1.89,215,0.5,0.88,95,0.4,0.52,71.2,40,,6574.702567,76,2.01,5.44,25,2.6,3.69,329,< 0.1,1.23,< 0.1,0.13,30,0.09,<0.001,0.2,0.35,< 0.02,<0.0005,1079.174452,19.6,19.9,25,1140,3.7,<0.005,< 0.1,0.09,663.4920635,125,61,77.44254899,17.8,0.87,0.35,<0.005,3709.552537,0.1,0.06,<0.0005,17.4,24.65,1640,3.1,10.43,183,872.9219498,0.7,8.29,52.72,10.16,9.66,9.46,1180,<0.001,<0.001,4.8,5.2,0.404,<0.0005,<0.001,3.9,5.7,0.164,0.002,10,,0.03,0.05,<0.001,1.7,1.97,0.126,0.02,,0.2,1.01,0.02,413658.4083,3.3,4.62,0.358,0.51,0.35,<0.001,5.9,7.51,0.73,< 0.05,0.01,<0.001,0.3,0.43,0.045,0.1,<0.01,6.9,10.48,0.333,3656.946183,0.092,0.05,0.07,0.0008,< 0.1,0.11,1.3,1.51,0.335,13,16.46,0.031,< 0.1,0.02,<0.001,5.3,9.66,0.94,0.3,0.6,0.065,2.2,7.28,0.12,1.7,4.56,0.081
TS0872_03TF,Batch_3,TS0872_03,<75 µm,TOS,Holroyd,41934,-14.18342,141.80321,,Kendall River,0.023,0.00004,,21588.69923,,< 0.1,0.82,,2.4,<0.001,,< 1,84.9,97.8,,0.6,0.45,0.08,0.07,,786.1626248,,0.03,0.01,,43.2,53.11,,,2.7,2.67,,6,6.15,,1.03,1.04,,1.61,1.66,,1.4,1.6,,0.5,0.69,,0.4,0.47,,60,,6434.815279,,1.8,4.19,,2.6,3.3,,< 0.1,1.16,< 0.1,0.08,< 10,0.07,,0.2,0.29,< 0.02,,1328.21471,,19.6,23.3,,3.5,,< 0.1,0.07,784.1269841,,55,77.44254899,,0.06,0.03,,370.9552537,< 0.1,0.04,,17.7,22.92,,1.7,9.64,,#VALUE!,,7.82,55.6,8.25,7.64,7.55,,<0.001,,4.8,4.89,,<0.0005,,3.5,3.47,,< 0.001,,,< 0.02,0.04,,1.8,1.51,,0.03,,< 0.1,1.03,,416274.7253,3.3,4.29,,0.56,0.34,,5.3,5.47,,< 0.05,0.01,,0.3,0.38,,0.04,,7.2,9.68,,4855.944931,,0.05,0.04,,< 0.1,0.09,1.3,1.38,,12,10.93,,< 0.1,0.01,,5.23,7.7,,0.3,0.43,,2.3,5.6,,1.2,2.77,
TS0872BC,NGSA,TS0872,<2 mm,BOS,,39737,-14.1544,141.67068,,Kendall River,<0.002,<0.03,,116462,,3.8,6.7,,0.1,0.001,,<1,30,160.3,,1.8,2.6,0.39,0.66,,929.1012839,,0.02,0.13,,56.2,99.6,,1280,6.5,9.8,,58.4,105.7,,2.31,9.28,,7.19,7.5,,2.9,5.537,,1.3,2.999,,1.1,1.256,,500,,47981.34001,,9.84,25.7,,5,5.941,,<0.1,0.88,<0.1,6.08,0.02,,,0.5,0.884,0.03,,11929,,25.1,46.35,,49.4,,0.1,0.2,4927,,37,77.44254899,,1.88,3.5,,3101,<0.1,16.5,,24.4,37.91,,10.3,29.7,,271,,23.6,26.7,,,,,<0.001 ,,5.8,9.66,,<0.0005,,37.5,117.6,,<0.001,,1237,0.06,<0.4,,11.8,15.4,,0.17,,<0.1,,,251259.8735,5.5,8.092,,1.21,3,,28.7,72.4,,<0.05,0.92,,0.5,0.718,,0.02,,12.3,18.59,,6114.893617,,0.18,,,0.2,,3.8,6.21,,53,99.6,,<0.1,2.6,,12.5,33.2,,1,3.097,,23.6,40.6,,4.2,218.6,
TS0872BF,NGSA,TS0872,<75 µm,BOS,,39737,-14.1544,141.67068,,Kendall River,<0.002,<0.03,,113138,,5.7,8.5,,0.8,,,<1,31.2,158.1,,2.4,2.2,0.34,0.67,,1000.570613,,0.04,0.1,,60.3,104.7,,1312,6.7,9.9,,53.4,103.1,,2.06,9.19,,6.21,7.6,,3.2,5.901,,1.3,3.19,,1,1.384,,480,,51198.74765,,10.3,26.4,,4.2,6.543,,<0.1,0.76,<0.1,6.54,0.02,,,0.5,0.931,0.04,,11596,,24.8,47.05,,48.6,,0.1,0.211,4812,,41,77.44254899,,2.75,4.1,,3049,0.2,16,,25.4,41.3,,10.6,30.4,,288,,20.9,26.55,,,,,,,6.2,10.26,,,,36.1,112,,<0.001,,1405,0.1,<0.4,,12.5,15.4,,0.17,,0.3,,,252474.5921,5.5,8.772,,1.41,2.8,,31.7,70.8,,<0.05,0.88,,0.5,0.786,,<0.02,,10.4,19.25,,5994.993742,,0.17,,,0.2,,3.9,7.07,,57,107.4,,<0.1,2.6,,14.7,35.1,,1,3.207,,24,41.5,,5.5,232,
